chapter,target_word,NOUN,VERB,ADJ,ADV,PRON,PROPN
0,thy,4,1,0,0,2,0
0,thou,9,8,3,3,7,3
0,one,1,0,0,0,1,0
1,thy,20,6,6,4,2,1
1,thou,13,9,4,4,8,5
1,one,0,1,1,2,2,0
2,thy,0,0,0,0,0,0
2,thou,4,4,1,4,1,0
2,one,3,2,1,2,2,1
3,thy,1,0,1,0,0,0
3,thou,4,3,0,1,5,2
3,one,3,2,2,0,1,0
4,thy,8,1,0,0,1,1
4,thou,6,6,1,3,5,1
4,one,8,2,1,4,2,0
5,thy,5,2,1,1,0,1
5,thou,8,1,1,3,4,5
5,one,3,1,0,3,1,1
6,thy,4,1,1,1,0,2
6,thou,2,2,2,6,0,6
6,one,3,2,2,0,0,0
7,thy,1,1,0,2,0,1
7,thou,10,3,4,3,7,8
7,one,4,4,1,0,2,0
8,thy,3,3,1,1,1,1
8,thou,2,2,2,1,0,1
8,one,3,4,0,0,3,0
9,thy,11,10,2,2,3,1
9,thou,9,10,1,3,6,7
9,one,0,1,0,1,2,0
10,thy,7,1,2,2,0,0
10,thou,7,4,0,5,2,3
10,one,1,1,1,1,1,1
11,thy,5,2,0,2,0,1
11,thou,4,0,2,2,0,1
11,one,1,3,0,0,3,0
12,thy,10,1,2,1,2,1
12,thou,7,7,3,4,6,8
12,one,4,2,0,0,1,1
13,thy,8,2,1,2,0,0
13,thou,9,5,3,3,2,6
13,one,3,1,1,0,1,1
14,thy,7,3,1,0,0,0
14,thou,7,4,1,7,2,2
14,one,7,2,2,0,6,0
15,thy,7,4,0,2,2,3
15,thou,10,3,2,1,4,3
15,one,4,3,2,4,2,1
16,thy,3,1,2,0,0,0
16,thou,4,3,1,3,3,5
16,one,1,0,0,0,3,0
17,thy,7,4,2,0,0,2
17,thou,6,1,1,0,1,1
17,one,1,4,0,0,3,0
18,thy,6,2,0,1,1,2
18,thou,4,5,5,6,4,3
18,one,1,2,0,1,3,0
19,thy,5,4,0,1,1,1
19,thou,4,3,4,2,2,1
19,one,0,0,0,2,0,1
20,thy,2,2,0,0,0,0
20,thou,6,5,1,2,3,6
20,one,7,3,3,1,3,4
